PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0TVRn,3r1rk1/5Npp/1Q3p2/4p3/5n2/P4P2/1Pq2P1P/3RR1K1 w - - 3 26,d1d8 c2g6 f7g5 g6g5 g1f1 g5g2,1878,74,95,11874,fork long mate mateIn3 middlegame,https://lichess.org/RdKFO1H2#51,
02NlV,2krr3/ppq3pb/2p4p/4p2P/4N1P1/1P2Q3/P1P2P2/1K1R3R b - - 2 24,d8d4 d1d4 e5d4 e4d6 c7d6 e3e8,1469,75,81,289,crushing discoveredAttack long middlegame queensideAttack,https://lichess.org/uTyxamBO/black#48,
0EBtm,r5k1/6bp/p1p3p1/3p1pqn/1P6/2NP2Pb/2P2P1P/R1B1Q1K1 b - - 1 19,g7c3 e1e6 g8h8 c1g5,1424,75,90,2608,advantage kingsideAttack middlegame short,https://lichess.org/WuMpqVzb/black#38,Sicilian_Defense Sicilian_Defense_Bowdler_Attack
04WhM,8/5p2/3p3p/8/4p1P1/2k1P3/r1P1KP2/2R5 w - - 1 39,f2f3 a2c2 c1c2 c3c2,932,78,98,431,advantage endgame rookEndgame short,https://lichess.org/IRNhmEMZ#77,
03Cdz,r1b1rnk1/pp1n1p1p/4p1pP/3pP3/3Q1P2/2N3q1/PPPKB1P1/R6R b - - 2 18,b7b6 e2f3 c8a6 h1h3 g3h3 g2h3,2237,77,94,647,advantage long middlegame trappedPiece,https://lichess.org/TTUYdZJy/black#36,French_Defense French_Defense_Knight_Variation
0F84a,r2k3r/pppbn1pp/5p2/1Nb1p3/2B1P3/8/PPP2PPP/R1BR2K1 b - - 7 11,a7a6 c4e6 c5d6 b5d6,1638,76,94,15513,advantage middlegame pin short,https://lichess.org/TEg4pDng/black#22,Scotch_Game Scotch_Game_Other_variations
04jgc,1r4k1/p3bppp/2rpb3/q1nnp3/2N1P3/P3BP2/1PB1Q1PP/1R1R2K1 b - - 0 21,a5c7 e4d5 e6d5 d1d5,1420,75,95,31936,advantage fork middlegame short,https://lichess.org/8DW0ffqs/black#42,
0XsaW,3r1n1r/p7/3pB3/1k4Rp/1N1pP3/8/PPP3PP/6K1 b - - 2 29,b5b4 a2a3 b4a4 e6b3,1362,74,95,13273,endgame mate mateIn2 short,https://lichess.org/o5CfVJKE/black#58,
08wTC,5k2/pR3pp1/3N3p/3n4/8/5P1P/P5PK/4r3 b - - 0 33,e1e2 b7b8 f8e7 b8e8 e7d6 e8e2,2069,79,90,743,crushing endgame long skewer,https://lichess.org/wcpbqFOj/black#66,
07WtY,6k1/6pp/p7/1pb5/2pp4/P6P/1PP2PPK/RB2r3 b - - 2 24,c4c3 b1a2 g8f8 a1e1,1340,75,95,27630,advantage discoveredAttack endgame short,https://lichess.org/ZdIa2rNq/black#48,
08Gpb,2rq3k/p3b1pp/1p1p1r2/2pQ4/4PB2/2P3P1/P1P4P/3R1RK1 w - - 3 21,f4g5 f6f1 d1f1 e7g5,676,92,86,748,advantage discoveredAttack kingsideAttack middlegame short,https://lichess.org/qDFAiIqJ#41,
0Av17,5nk1/pp4r1/4p1BQ/3p2nP/3P2p1/1KN1P2q/PP3R2/8 b - - 10 33,h3e3 f2f8 g8f8 h6h8 f8e7 h8g7,1495,76,100,436,attraction crushing deflection exposedKing long master middlegame sacrifice,https://lichess.org/0QWqw6KZ/black#66,
0R6Go,rn3rk1/pp4p1/2pp1q1p/4p3/4p2b/2NP4/PPPBN3/R1QK2R1 w - - 4 17,c3e4 f6f1 d2e1 h4e1 g1f1 f8f1,1952,76,80,183,advantage long opening,https://lichess.org/TChN6Txa#33,Kings_Pawn_Game Kings_Pawn_Game_Leonardis_Variation
062su,8/8/4k3/2p3R1/3bBp2/4rP1P/2P1K1P1/8 w - - 3 39,e2d2 d4c3 d2c1 e3e1,976,77,99,2594,endgame mate mateIn2 short,https://lichess.org/BfEBtcBG#77,
08WoA,1n1q1rk1/Q1b2p1p/2p1p3/2Pp4/1P2n1p1/4PN2/P3BPPP/1RR3K1 w - - 0 18,f3d4 c7h2 g1h2 d8h4 h2g1 h4f2,1957,75,92,2892,attraction crushing kingsideAttack long master middlegame sacrifice,https://lichess.org/3n6uPkxc#35,Queens_Pawn_Game Queens_Pawn_Game_Zukertort_Variation
08MRH,r5k1/ppq4p/3b2pB/n2P1p2/2p1r3/2Q2N2/PP3PPP/R4RK1 w - - 0 20,f3g5 d6h2 g1h1 e4h4 g2g3 h2g3,2127,85,90,1134,advantage discoveredAttack kingsideAttack long middlegame,https://lichess.org/Rz6S98Ks#39,
0K9xB,2r2rk1/p4ppp/1p3n2/2qpR1Bb/3N1P2/1B6/PP4PP/R2Q2K1 w - - 1 21,d1c2 c5d4 c2f2 d4f2 g1f2 f6g4,1415,75,95,6318,attraction crushing hangingPiece kingsideAttack long middlegame,https://lichess.org/awYAL2sx#41,
0Btl1,5r1k/2P3bp/pN4p1/8/Q1P1p3/5rPq/2R2P2/1R4K1 w - - 0 34,c7c8q f3g3 f2g3 g7d4 c2f2 d4f2,2088,74,95,9726,long mate mateIn3 middlegame sacrifice,https://lichess.org/ZjsKXCw9#67,
09Ljh,2rqr1k1/p4ppp/2b5/4pQb1/6P1/2N5/PPPP1PP1/R1B2RK1 w - - 5 17,d2d3 g5c1 a1c1 g7g6 f5c8 d8c8,2122,75,87,134,advantage long middlegame trappedPiece,https://lichess.org/uMH8oj06#33,Italian_Game Italian_Game_Two_Knights_Defense
0D7tY,1r2r1k1/2Q3pp/p7/1p1R4/4R3/7P/Pq3PP1/6K1 w - - 0 29,d5f5 b2b1 g1h2 b1e4,1284,77,95,13379,crushing endgame fork short,https://lichess.org/qW62xiNf#57,
0Oqw6,rn1qk2r/ppp2pp1/3p1bbp/8/3NP1PP/2NB1P2/PPP5/R2QK2R b KQkq - 1 11,f6d4 d3b5 c7c6 d1d4 d8f6 d4f6,1779,76,88,927,advantage discoveredAttack long opening,https://lichess.org/WoOBo4kL/black#22,Philidor_Defense Philidor_Defense_Exchange_Variation
0ZK1A,2rqk2r/pQ1b1pbp/2n1pp2/1B1N4/3P4/4P3/PP3PPP/R3K1NR w KQk - 0 12,b5c6 d7c6 b7e7 d8e7 d5e7 e8e7,1300,76,80,609,advantage long opening,https://lichess.org/ORESaVub#23,Slav_Defense Slav_Defense_Exchange_Variation
01A3W,4r3/pp5p/5k2/2p1r3/3p4/PP1P4/3KR2P/5R2 b - - 1 31,f6e6 e2e5 e6e5 f1e1 e5d6 e1e8,1010,83,89,731,attraction crushing endgame exposedKing long rookEndgame skewer,https://lichess.org/vvUxsteN/black#62,
0DhAD,r2qr1k1/ppp2ppp/5n2/4nQ2/8/2N4P/PPB2PP1/3R1RK1 b - - 1 19,d8e7 c3d5 e7d6 d5f6 d6f6 f5h7,1571,75,95,973,advantage kingsideAttack long middlegame,https://lichess.org/Tu8Ym1KZ/black#38,
0Plxl,2r2rk1/1pq2p1p/p3p1p1/2npP3/5P2/2N1P2R/PPQ3PP/2R3K1 b - - 1 19,c5e4 c3e4 d5e4 c2c7 c8c7 c1c7,1255,75,88,275,advantage discoveredAttack long middlegame,https://lichess.org/LeYjAJB8/black#38,
0Gkxw,2k2b1r/p4Rp1/2pq4/8/3rn3/4N3/PP2Q1P1/R1B3K1 w - - 1 20,e2a6 c8d8 a6a5 d8e8,1134,77,98,2490,advantage middlegame short,https://lichess.org/dtCdNWi2#39,
0Cb7u,6rk/5p2/4p3/3p1q2/3P1p1p/2P2PrP/4RQP1/6RK w - - 2 42,e2e5 g3h3 g2h3 f5h3 f2h2 h3f3 g1g2 h4h3 e5h5 f3h5 g2g8 h8g8,1919,74,92,2195,crushing deflection endgame sacrifice veryLong,https://lichess.org/4GsPFdAW#83,
0BFOF,6k1/6P1/4PPK1/1q6/4N3/8/8/8 b - - 4 88,b5e8 f6f7 e8f7 e6f7,830,76,100,105,advancedPawn endgame fork mate mateIn2 short,https://lichess.org/7zWACAyZ/black#176,
0BRsf,8/1k3pb1/3p4/Pb1p3p/1N1P1P2/4B1P1/6K1/8 w - - 0 48,b4d5 b5c6 g2h3 c6d5,1154,79,93,1538,crushing endgame pin short,https://lichess.org/xpLg4iyh#95,
0O2qR,r3r1k1/pp1n1ppp/2p5/q7/1b1PB1bB/5N2/PPP2PPP/R2Q1RK1 w - - 1 13,e4h7 g8h7 f3g5 a5g5 h4g5 g4d1,2050,75,85,194,advantage hangingPiece long middlegame,https://lichess.org/iZXYt0Gr#25,Scandinavian_Defense Scandinavian_Defense_Boehnke_Gambit
08mzT,7r/3P1p2/pp6/4k3/PP2P3/6Kp/7R/8 b - - 0 41,e5e4 h2e2 e4d3 e2e8,1979,74,94,10920,crushing endgame rookEndgame short,https://lichess.org/bd3XExHy/black#82,
03NmB,2r3rk/Qp1q3p/5n2/3pnp2/4pN2/PNP4P/1P3PP1/3R1RK1 w - - 5 24,a7d4 e5f3 g1h1 f3d4,882,85,93,248,crushing master middlegame pin short,https://lichess.org/iXQvBdqA#47,
0Cu1y,8/5k2/7R/1p6/p2RKPP1/P2P4/1Pr5/4r3 w - - 8 41,e4f5 c2c5 d4d5 c5d5,895,75,99,747,endgame mate mateIn2 rookEndgame short,https://lichess.org/WHiQ7QPF#81,
0Mvhm,r1bq1rk1/pp3ppp/3p4/3Pp2n/3bP1P1/2NB1P2/PP5P/R1BQ1K1R b - - 0 12,c8g4 f3g4 d8f6 f1g2 h5f4 c1f4,1904,78,92,4865,advantage hangingPiece long middlegame,https://lichess.org/iSA4Uweq/black#24,Sicilian_Defense Sicilian_Defense_Alapin_Variation
0PQNg,2r5/pp1k1ppp/4pn2/3p4/3P4/5B1P/PBr2PP1/1R3RK1 w - - 3 21,f1c1 c2b2 b1b2 c8c1,1410,74,99,920,advantage capturingDefender deflection discoveredAttack middlegame short,https://lichess.org/WGS1Vgbe#41,
04Rjh,r1bq1rk1/p2nbppp/8/2p1B3/3pN3/5N2/PPP2PPP/R2QR1K1 w - - 2 14,e4d6 d7e5 d6c8 e5f3 d1f3 a8c8,1729,75,96,666,advantage long opening,https://lichess.org/tapzkgkU#27,Sicilian_Defense Sicilian_Defense_Nyezhmetdinov-Rossolimo_Attack
09ebs,2r2r2/3q1pkp/3p2p1/pp1Pp1Q1/2P3P1/1P3PNP/P1b5/R4RK1 b - - 1 22,b5c4 g3h5 g7g8 h5f6,1285,75,95,28635,crushing middlegame pin short,https://lichess.org/7pNWvHlg/black#44,
06RYV,3r2k1/p4p1p/4p1p1/4P1R1/3KB2P/2P3R1/r7/8 w - - 6 33,d4c4 a2a4 c4b3 a4e4,969,79,93,121,crushing endgame short skewer,https://lichess.org/jouHRyYm#65,
046Rc,r4rk1/ppp2ppp/3p4/3q4/1P1b1P1n/3BB1RP/P4P1K/R2Q4 b - - 1 21,d4a1 d3h7 g8h7 d1d5,1382,76,95,26136,advantage discoveredAttack kingsideAttack middlegame short,https://lichess.org/2237ZlNf/black#42,
0DvDI,2r1r1k1/pp3pp1/1q5p/8/1n6/1P4PP/PQ3PB1/1R1R2K1 w - - 4 24,a2a3 c8c2 b2d4 e8e1 g1h2 b6d4 d1d4 e1b1,1718,78,100,109,advantage middlegame veryLong,https://lichess.org/liCAM89P#47,
0I79d,r4kr1/1bpB3p/4pq2/8/1b6/2N2NP1/1BP1QP1P/2KR3R w - - 1 18,c3e4 a8a1 b2a1 f6a1,1579,75,96,11998,mate mateIn2 middlegame queensideAttack sacrifice short xRayAttack,https://lichess.org/EeaBRJ51#35,Kings_Pawn Kings_Pawn_Other_variations
07HUa,r4rk1/1b2qpp1/p3p3/1p2N2p/1P1PNn2/P3nB1P/3Q2P1/2R2RK1 b - - 5 30,e3f1 d2f4 b7e4 f3e4,1543,75,94,5078,advantage hangingPiece middlegame short,https://lichess.org/UCXuiyX7/black#60,
04dLQ,r4r1k/6pp/8/8/1p2Q3/P2PB3/1Pq2PPP/RN4K1 w - - 0 22,e4b4 c2d1 b4e1 d1e1,980,81,96,3917,mate mateIn2 middlegame short,https://lichess.org/mcDDxWde#43,
0JfJY,r4r2/1b1p3Q/pp3kB1/8/5q2/P1P3PP/P4P2/3R2K1 b - - 0 24,f4f3 d1d6 f6e5 h7e7,1195,76,94,12530,mate mateIn2 middlegame short,https://lichess.org/MTpYHy0V/black#48,
0ZadC,8/3k4/6n1/4PK2/1p1N4/1P5p/8/8 w - - 0 56,d4f3 g6h4 f3h4 h3h2,1487,76,95,20868,advancedPawn crushing endgame knightEndgame sacrifice short,https://lichess.org/ar1pkZ0b#111,
0ARwj,r7/p3pp1N/1pn3k1/2p2b1R/4r3/1P3KP1/P1P1B3/R7 b - - 6 24,e4e2 h5g5 g6h7 a1h1 e2h2 h1h2 f5h3 h2h3,2109,76,94,9190,exposedKing mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/nD0Qw21Z/black#48,
054x7,r2n4/pbp1N2k/1p2p2p/8/4P3/3B2R1/PPP5/1K6 b - - 7 27,h7h8 g3g8 h8h7 e4e5 b7e4 d3e4,1067,75,97,4070,discoveredAttack endgame exposedKing long mate mateIn3,https://lichess.org/lc6bnBNr/black#54,
00ZPK,5r2/R2R1pk1/P7/5pp1/8/1KP5/5r2/8 b - - 0 44,g5g4 d7f7 f8f7 a7f7 g7f7 a6a7,899,98,94,1101,advancedPawn advantage endgame long master rookEndgame sacrifice,https://lichess.org/Y6yYxIcG/black#88,
0PCG2,5rk1/pp3ppp/1qp5/8/2PrP3/P1Q2P2/1P4PP/3R2K1 w - - 0 30,c3d4 f8d8 d4b6 d8d1 g1f2 a7b6,1810,75,94,1899,crushing endgame intermezzo long sacrifice skewer,https://lichess.org/emgAnslO#59,
0HnDV,r2q1rk1/ppp3p1/2n1p2p/3p1p1b/2PPn3/1P2PN1P/P3BPP1/R2QBRK1 w - - 0 14,f3d2 e4c3 e2h5 c3d1,1658,75,89,801,advantage opening short,https://lichess.org/CuJrtCNc#27,Queens_Gambit_Declined Queens_Gambit_Declined_Baltic_Defense
07Dtq,2k3r1/pp3p2/1p1p3p/4P3/1P2P3/P4q2/3Q1PrP/2RR1K2 b - - 2 25,c8b8 d2d6 b8a8 d6d8 g8d8 d1d8,978,87,94,2734,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/AwgWW6In/black#50,
